Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,15.68,0.58,1.74%,116.03M,-3.58%,1.06B,9.32,0.98,-0.27%,113.39M,11.69%,1.08B,0.38,0.23,93.56%,5.00%,-13.98%,68.54M,0.62,118.67%,-5.30%,4.45,-17.01%,1.72B,0.71,0.00%,3.19%,5.67M,-26.46%,12.93,5.87,40.76%,4.91%,6.70,24.50,-56.64%,1.56,30.15,- -,4.07%,-62.57%,-19.28%,-,3.62,27.53% 24.18%,12.85%,36.97%,-34.41%,-,0.63,429.11%,7.56%,2.40%,2.94%,-92.29%,"Aug 29, 2017",1.74,10.48%,3.98%,54.41,1.60,- -,2.11,590.95%,3.40%,1.18,12.60,0.00%,0.14,1.93%,8.28%,1.10,9.60,8500,0.12,Apr 30 BMO,-25.43%,1.28M,9.17,"Aug 09, 2013",Yes / Yes,-16.26% 12.59%,"

","1,397,727",-4.48%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,36.88,3.25,2.94%,118.00M,-1.96%,14.12B,25.51,4.70,0.05%,114.34M,-3.69%,18.02B,2.97,1.01,105.30%,8.15%,11.01%,390.00M,1.76,-3.61%,23.18%,5.03,-24.24%,8.01B,8.62,27.26%,5.04%,9.32M,-8.62%,13.90,66.60,12.42%,26.24%,85.06,161.00,14.21%,1.80,121.72,3.05% -2.04%,7.02%,-25.56%,323.26%,-,15.15,3.87% -13.48%,11.29%,40.90%,346.87%,-,2.25,60.91%,8.67%,1.74%,1.73%,630.56%,-,1.02,1.94%,4.87%,53.25,1.57,- -,1.02,2.99%,1.08%,1.97,128.17,0.00%,2.51,-3.17%,6.80%,0.64,120.62,23100,2.39,Apr 30 BMO,-2.81%,1.85M,119.85,"Jul 26, 2002",Yes / Yes,11.11% -1.26%,"

","1,194,021",-0.64%,XPO
XPeng Inc ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-0.75,2.73%,775.87M,-4.78%,14.21B,100.76,0.18,0.00%,755.00M,-7.01%,11.38B,-,-0.13,14.82%,3.90%,-17.04%,-705.84M,2.05,78.05%,12.18%,3.24,47.78%,6.94B,4.11,197.10%,-6.06%,29.43M,54.91%,4.46,2.69,-,-15.52%,6.60,27.16,150.14%,6.80,-,2.50% -1.37%,-12.22%,-32.58%,-28.89%,-,-,20.39% 76.03%,14.88%,177.42%,-,-,1.64,49.81%,-14.08%,1.76%,3.37%,-,-,1.07,50.45%,-10.17%,41.41,1.51,- -,1.21,52.40%,-6.09%,2.57,21.61,-,0.58,138.52%,-6.73%,0.67,18.61,15364,0.36,May 21 BMO,15.85%,9.07M,18.31,"Aug 27, 2020",Yes / Yes,53.90% 6.02%,"

","6,113,202",-1.61%,XPEV
XP Inc,Financial,Capital Markets,Brazil,NASD,-,12.63,1.55,31.40%,428.02M,-1.01%,10.29B,10.14,1.93,0.00%,361.50M,5.23%,23.11B,0.95,0.42,59.53%,3.76%,28.40%,841.66M,3.26,12.94%,-7.30%,1.80,51.98%,3.15B,2.82,13.54%,1.44%,13.59M,64.81%,6.91,7.17,13.26%,21.71%,10.82,20.64,14.41%,2.73,1.21,9.11% 23.61%,18.04%,-5.38%,3.61%,0.98 (5.02%),20.93,11.57% 18.93%,69.45%,80.50%,-53.23%,0.65 (3.33%),7.33,1.33%,33.46%,1.51%,1.78%,-,"Dec 10, 2024",0.18,-2.79%,26.68%,56.73,1.33,- -,0.18,4.79%,-0.18%,1.17,22.17,0.04%,3.88,-9.35%,11.82%,0.58,19.85,7442,0.27,May 20 AMC,23.68%,7.54M,19.53,"Dec 11, 2019",Yes / Yes,4.58% -2.10%,"

","4,384,823",-1.61%,XP
Exxon Mobil Corp,Energy,Oil & Gas Integrated,USA,NYSE,S&P 500,15.17,7.56,0.11%,4.31B,4.53%,494.32B,14.75,7.78,-0.09%,4.30B,9.29%,520.44B,2.02,1.49,66.28%,1.01%,-1.04%,33.17B,1.45,-16.52%,0.62%,2.47,5.74%,339.74B,1.88,19.59%,8.00%,43.64M,6.63%,60.96,26.70,7.53%,14.18%,97.80,126.34,5.85%,4.30,17.54,13.29% 18.47%,11.22%,-9.21%,19.35%,4.00 (3.49%),8.17,6.61% 5.83%,22.20%,17.28%,143.32%,3.92 (3.42%),1.53,-7.18%,11.60%,0.98%,1.14%,36.52%,"May 15, 2025",0.90,2.36%,9.76%,71.41,1.94,3.24% 2.28%,1.24,-14.19%,7.72%,0.46,122.72,49.00%,0.14,-0.20%,7.93%,2.04,113.19,61000,0.12,May 02 BMO,2.53%,17.66M,114.70,"Jan 01, 1920",Yes / Yes,0.80% -3.73%,"

","36,049,076",1.33%,XOM
Xometry Inc,Industrials,Specialty Industrial Machinery,USA,NASD,RUT,-,-0.99,14.54%,48.99M,0.96%,1.64B,46.88,0.69,-1.46%,43.31M,-7.10%,1.71B,-,0.04,89.66%,10.99%,26.61%,-48.86M,2.87,814.86%,-0.27%,6.93,-11.65%,573.81M,5.28,142.06%,-7.07%,4.76M,-23.93%,6.14,7.11,-,-15.50%,11.08,45.33,158.77%,4.57,-,7.91% -8.00%,-8.16%,-28.41%,4.31%,-,-,35.70% 46.72%,36.57%,192.87%,-,-,2.98,27.83%,-8.85%,2.83%,3.75%,-,-,3.69,19.35%,-8.52%,50.74,1.80,- -,3.74,12.40%,-2.88%,0.84,34.89,-,0.95,23.05%,9.19%,1.01,32.85,1088,0.93,May 06 BMO,14.22%,686.33K,32.45,"Jun 30, 2021",Yes / Yes,484.62% 1.91%,"

","691,887",-1.22%,XMTR
Xenia Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,NYSE,RUT,54.73,0.22,0.74%,98.70M,-0.41%,1.21B,64.88,0.19,0.00%,97.97M,3.03%,2.51B,-,0.29,95.58%,3.62%,-3.01%,22.77M,1.14,107.60%,-2.20%,3.70,-23.57%,1.06B,1.00,-39.32%,0.79%,3.54M,-17.50%,12.25,6.65,-,1.83%,8.55,16.50,-14.50%,1.84,22.29,- -20.52%,0.86%,-25.70%,-20.90%,0.54 (4.40%),11.21,19.03% -1.99%,12.35%,43.39%,10.35%,0.50 (4.08%),2.36,12.66%,8.81%,1.53%,1.76%,-46.77%,"Jun 30, 2025",2.07,3.57%,2.15%,55.27,1.83,- -15.28%,2.07,85.44%,1.08%,1.67,13.80,311.49%,1.19,8.01%,7.30%,2.68,12.28,46,1.19,May 02 BMO,-9.89%,957.68K,12.26,"Feb 04, 2015",Yes / Yes,166.43% 4.95%,"

","2,564,804",-0.16%,XHR
XChange Tec.Inc. ADR,Financial,Insurance Brokers,China,NASD,-,-,-,0.29%,1.00M,-0.75%,1.32M,-,-,380.13%,1.00M,-20.00%,-,-,-,0.09%,7.82%,-92.15%,-,-,-,-96.30%,0.20,-95.71%,-,-,-,-,0.08M,-92.34%,-2628.17,1.10,-,-,1.25,1200.00,-99.53%,1.20,-,95.89% 86.14%,-,-99.89%,-99.99%,-,-,-36.89% -25.95%,-,5.60%,-100.00%,-,-,169.04%,-,1.55%,3.86%,-,-,0.02,-,-,31.18,-,- -,0.03,-,-9.50%,-0.80,53.75,-,-,-,-39.19%,4.64,1.35,38,-,-,-97.43%,389.94K,1.32,"Nov 05, 2019",No / Yes,87.91% -2.58%,"

","1,808,780",-2.23%,XHG
Xenon Pharmaceuticals Inc,Healthcare,Biotechnology,Canada,NASD,-,-,-3.22,3.05%,76.59M,-2.29%,2.46B,-,-4.39,-2.30%,74.39M,1.97%,1.92B,-,-0.99,97.49%,4.53%,-8.03%,-251.45M,327.91,-33.46%,0.74%,3.34,-22.42%,7.50M,3.49,-9.40%,-30.25%,3.37M,-18.24%,9.19,4.47,-13.72%,-31.60%,26.74,46.00,-12.43%,7.16,-,-19.41% -14.28%,-35.35%,-30.33%,12.57%,-,-,- -,65.07%,19.86%,177.01%,-,255.78,-18.58%,-3906.60%,1.37%,1.89%,158.05%,-,17.66,-100.00%,-3352.61%,51.34,1.05,- -,17.66,-33.82%,3.59%,1.10,55.18,-,0.01,-,-2.88%,0.61,31.90,327,0.01,May 12 AMC,-15.04%,1.01M,32.05,"Nov 05, 2014",Yes / Yes,7.39% 176.31%,"

","611,673",0.47%,XENE
"Xcel Energy, Inc",Utilities,Utilities - Regulated Electric,USA,NASD,"NDX, S&P 500",19.65,3.39,0.23%,576.55M,-3.52%,38.44B,16.13,4.13,0.16%,575.55M,-7.85%,69.53B,2.32,0.66,86.69%,1.54%,-4.92%,1.93B,2.80,8.97%,1.32%,2.32,-1.51%,13.73B,1.94,8.33%,2.79%,8.85M,-1.30%,34.35,31.10,8.48%,10.26%,51.97,73.38,25.17%,2.14,-,5.15% 5.44%,3.86%,-9.18%,1.15%,2.30 (3.45%),12.90,0.25% 3.15%,22.29%,28.23%,4.93%,2.23 (3.35%),5.06,2.14%,17.75%,1.31%,1.00%,103.79%,"Jun 13, 2025",0.70,-0.44%,14.06%,39.58,1.78,6.17% 6.21%,0.80,-4.63%,-2.68%,0.39,76.93,63.69%,1.63,7.16%,-4.16%,1.68,66.28,11380,1.53,Apr 24 BMO,-1.63%,3.81M,66.64,"Feb 28, 1949",Yes / Yes,-8.80% -0.67%,"

","6,397,832",0.54%,XEL
Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,USA,NASD,S&P 500,24.15,3.66,22.27%,105.87M,1.63%,9.25B,16.06,5.51,1.92%,81.27M,-5.63%,18.63B,-,1.25,66.80%,7.85%,6.52%,429.61M,1.33,-18.69%,-2.86%,2.40,-1.33%,6.97B,-,12.60%,3.28%,6.38M,2.70%,-3.41,4.47,-2.33%,-,65.25,107.81,-0.33%,19.80,12.13,- 30.52%,3.98%,-17.92%,52.54%,1.01 (1.14%),11.02,23.72% 1.52%,33.77%,35.62%,-3.82%,1.00 (1.13%),2.67,-48.66%,15.09%,2.92%,2.12%,-13.91%,"May 16, 2025",1.05,-0.08%,6.17%,52.78,1.63,- -23.23%,1.08,-46.88%,0.80%,1.37,105.57,22.97%,-,-8.72%,3.71%,1.07,86.91,28000,-,May 06 AMC,1.21%,2.66M,88.49,"Oct 25, 2002",Yes / Yes,-16.30% -2.05%,"

","2,841,351",1.82%,WYNN
Weyerhaeuser Co,Real Estate,REIT - Specialty,USA,NYSE,S&P 500,52.23,0.50,0.42%,725.67M,-4.10%,18.99B,28.36,0.92,0.00%,722.26M,-0.11%,23.62B,1.82,0.19,90.14%,1.64%,-13.05%,365.00M,2.68,17.30%,1.36%,2.99,-11.70%,7.09B,1.97,48.48%,2.19%,11.86M,-7.00%,13.29,33.85,28.71%,3.71%,24.10,34.03,-10.19%,0.77,70.59,-46.11% -,2.49%,-23.06%,-21.55%,0.77 (2.93%),13.81,-11.28% 1.68%,25.31%,8.63%,28.36%,0.82 (3.13%),3.33,-54.29%,9.96%,1.78%,1.31%,-11.52%,"May 30, 2025",1.26,-6.56%,5.15%,47.31,1.57,5.57% -10.07%,2.04,-26.79%,-0.49%,1.16,33.82,147.28%,0.54,-1.84%,0.49%,1.63,25.97,9440,0.52,Apr 24 AMC,-11.12%,3.97M,26.18,"Dec 06, 1963",Yes / Yes,13.52% -0.23%,"

","6,483,125",0.81%,WY
"Wolverine World Wide, Inc",Consumer Cyclical,Footwear & Accessories,USA,NYSE,RUT,19.46,0.89,1.96%,81.04M,-6.50%,1.40B,12.48,1.38,3.08%,79.46M,-0.12%,2.16B,0.71,0.23,106.67%,10.66%,25.07%,71.20M,0.79,22.18%,6.22%,5.57,-26.11%,1.77B,4.50,24.37%,4.03%,8.47M,-22.25%,3.83,13.13,27.53%,25.29%,9.58,24.64,35.37%,1.31,12.62,-10.61% -16.72%,7.18%,-29.95%,-15.35%,0.40 (2.33%),16.03,-10.09% -5.05%,43.91%,80.17%,-25.31%,0.40 (2.32%),1.22,195.95%,5.25%,2.76%,3.09%,-41.11%,"Jul 01, 2025",0.77,-13.05%,4.02%,52.36,1.30,0.00% 0.00%,1.26,172.08%,-1.07%,1.73,20.78,69.11%,2.77,4.41%,12.95%,1.80,17.60,3100,2.19,May 08 BMO,-1.83%,1.52M,17.26,"Jul 20, 1965",Yes / Yes,64.23% 4.16%,"

","2,742,044",-1.93%,WWW
Woodward Inc,Industrials,Aerospace & Defense,USA,NASD,-,38.43,6.19,5.60%,59.55M,1.25%,14.15B,31.50,7.55,-3.78%,56.17M,11.58%,14.73B,2.69,1.62,90.77%,1.64%,27.49%,381.41M,4.21,3.83%,2.13%,1.68,36.15%,3.36B,6.06,19.04%,8.61%,0.92M,42.95%,39.25,38.87,14.28%,16.35%,145.98,240.79,28.92%,6.12,44.89,23.58% 8.34%,13.39%,-1.20%,161.99%,1.09 (0.46%),27.00,13.97% 2.77%,25.83%,62.96%,201.43%,1.06 (0.45%),4.39,8.41%,12.86%,0.75%,1.76%,341.19%,"May 22, 2025",1.30,4.96%,11.36%,70.82,2.31,15.44% 9.00%,1.95,13.53%,4.57%,1.24,239.67,16.65%,0.40,5.78%,16.74%,1.43,238.99,9300,0.22,Apr 28 AMC,30.13%,546.53K,237.89,"May 31, 1996",Yes / Yes,15.88% 5.80%,"

","782,148",-0.46%,WWD
Wave Life Sciences Ltd,Healthcare,Biotechnology,Singapore,NASD,RUT,-,-0.84,20.14%,154.09M,-8.75%,1.01B,-,-1.11,-0.67%,123.12M,0.46%,801.06M,-,-0.26,81.46%,12.21%,-32.06%,-112.33M,9.65,-51.95%,3.13%,10.44,-51.15%,104.94M,5.89,-4.65%,-42.90%,15.03M,-46.89%,1.11,4.17,-2.44%,-105.50%,4.25,16.74,9.68%,1.58,-,33.25% 34.27%,-57.49%,-60.74%,243.98%,-,-,38.28% 46.62%,91.76%,54.59%,-35.40%,-,7.63,-57.17%,-119.83%,4.26%,3.25%,-,-,2.95,-7.06%,-107.04%,46.68,1.23,- -,2.95,-18.15%,-0.61%,-1.05,20.38,-,0.13,-26.82%,-0.21%,0.84,6.90,288,0.09,May 08 BMO,-34.48%,1.44M,6.57,"Nov 11, 2015",Yes / Yes,-11.75% -23.04%,"

","1,210,154",-4.78%,WVE
TeraWulf Inc,Financial,Capital Markets,USA,NASD,RUT,-,-0.33,24.86%,383.73M,-12.21%,1.44B,-,-0.12,-0.02%,289.99M,-4.59%,1.72B,-,-0.06,51.07%,32.80%,16.51%,-124.81M,10.89,-60.85%,2.84%,2.47,-54.61%,132.02M,8.91,64.14%,-20.09%,95.12M,-33.92%,0.42,6.55,-,-56.12%,2.06,9.30,-14.81%,0.57,-,43.17% 12.89%,-18.85%,-59.78%,96.84%,-,-,- 51.38%,-0.78%,81.55%,36.24%,-,13.03,-34.27%,-87.64%,6.87%,6.17%,-74.19%,"Dec 18, 2012",1.90,31.85%,-94.54%,47.28,1.17,- -,1.90,-370.09%,-6.88%,3.13,6.96,-,2.89,-18.92%,9.03%,1.23,3.84,12,2.89,May 09 BMO,-21.71%,38.59M,3.74,"Apr 05, 1994",Yes / Yes,-128.57% -16.65%,"

","47,644,206",-2.60%,WULF
Western Union Company,Financial,Credit Services,USA,NYSE,-,3.15,2.69,0.82%,332.10M,-7.12%,2.80B,4.58,1.85,0.00%,327.83M,-14.17%,4.30B,0.67,0.45,97.49%,8.70%,-21.04%,915.00M,0.68,1.87%,1.06%,3.91,-24.22%,4.14B,3.00,4.49%,11.16%,28.54M,-20.00%,2.83,2.17,4.73%,136.84%,8.40,13.11,-30.43%,3.90,6.51,11.60% 2.20%,27.07%,-35.34%,-48.48%,0.95 (11.15%),4.86,-6.32% -4.45%,32.98%,0.95%,-61.65%,0.94 (11.08%),1.04,59.60%,17.19%,1.43%,1.62%,-60.50%,"Jun 16, 2025",0.29,-5.16%,22.12%,25.92,3.52,0.00% 3.28%,0.29,-11.80%,-7.22%,0.71,10.58,34.32%,2.97,-6.30%,-11.27%,1.78,8.44,9100,2.60,Apr 23 AMC,-20.10%,7.29M,8.48,"Sep 20, 2006",Yes / Yes,0.69% -0.99%,"

","13,006,565",0.47%,WU
Willis Towers Watson Public Limited Co,Financial,Insurance Brokers,United Kingdom,NASD,S&P 500,-,-0.51,0.45%,99.21M,-0.70%,29.65B,15.72,19.02,-3.64%,98.70M,-4.39%,34.15B,-,2.64,95.26%,1.38%,-10.62%,-53.00M,3.02,-1.60%,-0.98%,2.02,-4.52%,9.81B,3.65,14.15%,-0.18%,1.36M,-4.55%,81.98,19.67,8.57%,-0.60%,254.88,344.14,16.58%,15.20,22.82,- -,-0.40%,-13.12%,53.44%,3.64 (1.22%),13.28,3.32% 1.91%,77.78%,17.31%,57.90%,3.56 (1.19%),3.48,-103.64%,21.74%,0.32%,1.10%,136.98%,"Jun 30, 2025",1.16,2.42%,-0.54%,40.97,1.80,5.24% 6.25%,1.16,27.36%,-2.18%,0.71,364.06,-,0.73,-5.08%,-3.49%,1.40,297.50,48900,0.65,Apr 24 BMO,-4.21%,675.61K,299.00,"Jun 12, 2001",Yes / Yes,-2.51% -2.61%,"

","944,578",0.50%,WTW
Select Water Solutions Inc,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,26.76,0.34,10.94%,103.88M,0.22%,1.11B,11.60,0.80,-0.75%,92.62M,9.89%,1.49B,0.53,0.12,86.43%,4.68%,-8.71%,35.26M,0.76,75.78%,-2.23%,3.06,-32.45%,1.46B,1.21,50.78%,2.49%,4.33M,-30.36%,7.63,39.74,50.47%,4.51%,7.20,15.14,-9.25%,0.23,112.18,- 54.15%,3.30%,-39.10%,17.90%,0.28 (3.04%),6.52,23.84% 2.37%,15.03%,28.06%,67.03%,0.27 (2.93%),1.02,-46.51%,4.85%,1.05%,1.76%,-,"May 06, 2025",1.67,-4.91%,2.42%,60.57,1.00,- -,1.83,123.74%,5.97%,1.19,15.20,83.00%,0.37,2.14%,8.12%,1.12,9.29,3700,0.35,May 06 AMC,-17.79%,1.41M,9.22,"Apr 21, 2017",Yes / Yes,26.78% 3.22%,"

","1,584,845",-0.75%,WTTR
"Watts Water Technologies, Inc",Industrials,Specialty Industrial Machinery,USA,NYSE,RUT,27.48,8.73,18.97%,27.43M,-0.76%,8.01B,24.22,9.91,-0.32%,27.04M,-1.57%,7.87B,4.52,2.63,81.73%,3.26%,14.13%,292.60M,3.58,4.73%,0.08%,4.10,9.76%,2.24B,4.52,6.80%,12.11%,0.88M,18.06%,53.09,23.78,6.08%,17.61%,175.37,248.17,27.81%,10.09,24.01,21.15% 17.72%,14.86%,-3.29%,93.92%,1.90 (0.79%),17.13,7.57% 7.07%,47.65%,36.86%,197.26%,1.81 (0.75%),3.51,8.17%,18.07%,0.64%,1.04%,351.66%,"May 30, 2025",1.53,3.89%,13.07%,54.08,2.80,17.78% 12.89%,2.46,1.93%,-0.62%,1.13,233.80,18.98%,0.11,-2.26%,6.07%,1.65,241.05,4800,0.11,May 07 AMC,13.42%,214.73K,240.01,"Aug 21, 1986",Yes / Yes,11.89% 1.94%,"

","353,835",-0.43%,WTS
Essential Utilities Inc,Utilities,Utilities - Regulated Water,USA,NYSE,-,16.75,2.23,0.27%,280.34M,-2.66%,10.47B,16.76,2.23,-1.01%,279.57M,-5.01%,18.23B,2.54,0.29,77.78%,1.44%,-3.91%,613.33M,4.64,6.49%,-2.07%,2.34,-2.63%,2.26B,1.60,6.21%,3.47%,4.02M,2.81%,23.35,503.74,6.60%,9.78%,33.18,41.78,0.73%,0.07,-,9.07% 15.84%,4.38%,-10.63%,-10.76%,1.34 (3.58%),14.64,3.56% 18.58%,42.45%,12.54%,-16.41%,1.30 (3.49%),8.07,5.65%,38.35%,1.13%,1.07%,47.01%,"May 13, 2025",0.57,16.41%,27.17%,40.45,1.55,6.89% 6.89%,0.65,6.03%,-1.84%,0.80,45.75,58.32%,1.20,28.03%,-4.54%,2.23,37.39,3291,1.17,May 12 BMO,-2.43%,1.72M,37.34,"Jul 26, 1971",Yes / Yes,28.22% 11.64%,"

","3,830,115",-0.13%,WTRG
"White Mountains Insurance Group, Ltd",Financial,Insurance - Property & Casualty,USA,NYSE,-,152.26,11.47,3.21%,2.57M,-1.30%,4.49B,15.19,115.00,0.00%,2.49M,-4.47%,-,-,18.50,89.89%,2.14%,-6.80%,27.40M,2.07,22.51%,1.56%,2.98,-9.47%,2.17B,1.00,4.55%,0.29%,0.05M,-10.21%,1752.17,-,-,0.61%,1666.22,2023.00,-2.23%,-,7.06,- -7.13%,0.53%,-13.67%,41.73%,-,-,53.90% 20.18%,-,4.81%,104.51%,1.00 (0.06%),-,-94.77%,13.40%,0.57%,1.12%,170.03%,"Mar 17, 2025",-,-4.09%,1.26%,41.81,-,0.00% 0.00%,1.34,-85.68%,-1.98%,0.36,-,1.11%,0.15,-7.99%,-1.65%,1.48,1750.45,893,0.15,May 07 BMO,-5.11%,17.90K,1746.39,"Oct 23, 1985",No / Yes,194.21% -,"

","26,413",-0.23%,WTM
Wintrust Financial Corp,Financial,Banks - Regional,USA,NASD,-,11.90,10.11,2.03%,66.92M,0.23%,8.06B,10.70,11.25,-2.49%,65.57M,-1.34%,-,1.99,2.60,96.64%,2.75%,5.56%,668.83M,2.00,4.05%,2.04%,4.04,-8.55%,4.03B,1.30,4.87%,1.13%,1.81M,-3.47%,92.47,-,5.99%,11.58%,89.10,142.04,28.86%,-,11.81,10.78% 11.32%,6.17%,-15.25%,51.52%,1.95 (1.62%),-,28.60% 17.26%,-,35.11%,162.84%,1.90 (1.58%),-,4.65%,23.74%,1.03%,1.38%,126.49%,"May 08, 2025",-,7.10%,16.60%,54.06,1.36,13.23% 12.47%,0.13,-6.85%,0.39%,0.82,136.50,17.46%,0.64,6.59%,4.52%,1.47,118.70,5903,0.64,Apr 21 AMC,1.07%,447.05K,120.38,"Sep 23, 1996",Yes / Yes,8.18% -0.06%,"

","658,173",1.42%,WTFC
WisdomTree Inc,Financial,Asset Management,USA,NYSE,RUT,28.17,0.37,8.80%,147.03M,0.98%,1.52B,13.79,0.75,-0.70%,128.08M,6.27%,-,-,0.17,79.40%,11.27%,17.77%,54.50M,3.46,-48.20%,-3.05%,9.74,-10.17%,439.00M,3.55,7.45%,7.10%,14.43M,-1.52%,2.91,5.95,-,16.50%,7.47,12.45,9.42%,1.74,12.59,- 43.20%,11.90%,-16.95%,96.95%,-,-,- 9.90%,49.70%,38.42%,196.28%,0.12 (1.16%),-,-,32.70%,2.39%,1.63%,-53.27%,"May 14, 2025",3.70,-,15.80%,64.47,2.33,0.00% 0.00%,3.80,25.40%,4.85%,1.09,11.96,31.60%,1.23,11.70%,11.32%,1.34,10.23,315,1.23,May 02 BMO,5.40%,1.48M,10.34,"Mar 04, 1993",Yes / Yes,1.01% 0.05%,"

","1,984,224",1.08%,WT
"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies,USA,NYSE,S&P 500,33.89,6.37,0.64%,71.80M,-4.04%,15.51B,30.34,7.11,0.00%,71.39M,0.18%,15.41B,5.33,1.52,97.83%,2.99%,-5.14%,467.20M,5.35,-6.81%,-0.03%,2.60,-34.71%,2.90B,5.78,13.09%,12.94%,2.13M,-34.11%,37.37,38.36,6.36%,17.42%,187.43,352.33,-35.78%,5.63,50.52,-8.31% 15.84%,15.74%,-38.74%,-23.09%,0.51 (0.23%),20.34,0.72% 9.43%,34.66%,15.15%,3.08%,0.83 (0.38%),5.32,-16.35%,20.64%,1.65%,1.56%,283.27%,"Jul 30, 2025",2.03,-1.14%,16.13%,48.06,1.44,5.42% 5.75%,2.77,-20.73%,-0.34%,1.09,274.50,12.27%,0.11,0.42%,1.04%,1.05,217.95,10600,0.11,Apr 24 BMO,-21.07%,820.01K,215.82,"Mar 17, 1980",Yes / Yes,18.13% 1.80%,"

","858,025",-0.98%,WST
Whitestone REIT,Real Estate,REIT - Retail,USA,NYSE,RUT,20.30,0.60,13.45%,50.89M,-1.13%,1.25B,29.01,0.42,0.17%,44.05M,-2.62%,1.88B,-,0.08,63.84%,0.82%,-15.31%,31.25M,8.00,-52.31%,-1.53%,1.45,-19.16%,156.07M,1.45,23.30%,2.78%,0.36M,-13.34%,8.47,74.72,-12.64%,7.33%,11.77,15.36,-8.97%,0.16,26.54,48.28% 4.73%,2.91%,-20.05%,15.31%,0.54 (4.40%),20.65,7.47% 5.19%,47.41%,4.29%,67.30%,0.52 (4.21%),12.04,24.45%,35.62%,1.04%,0.97%,-11.84%,"Jul 01, 2025",2.02,4.39%,20.03%,43.91,1.29,5.85% -14.86%,2.02,-61.03%,-0.29%,0.90,15.07,70.46%,1.49,1.48%,-2.79%,1.68,12.40,72,1.49,Apr 30 AMC,-9.64%,249.69K,12.28,"Aug 26, 2010",Yes / Yes,-19.26% -3.62%,"

","418,679",-0.97%,WSR
Watsco Inc,Industrials,Industrial Distribution,USA,NYSE,-,32.39,13.02,14.24%,40.51M,-4.80%,17.27B,27.26,15.48,-0.07%,34.74M,-10.23%,17.72B,3.79,4.83,90.06%,6.89%,-16.02%,490.96M,2.28,6.82%,1.86%,8.10,-17.25%,7.58B,5.77,8.92%,11.14%,2.39M,-10.98%,73.17,39.98,8.55%,18.91%,422.99,571.41,-13.29%,10.55,37.54,7.27% 15.38%,16.30%,-26.18%,70.12%,10.85 (2.57%),22.84,6.65% 9.81%,26.40%,-0.27%,137.95%,11.10 (2.63%),2.34,1.09%,9.68%,0.46%,1.40%,241.29%,"Apr 15, 2025",1.36,3.92%,6.47%,31.04,2.94,11.46% 11.03%,3.28,-11.13%,-4.45%,1.05,495.50,81.20%,0.17,-2.17%,-9.19%,1.88,423.41,7295,0.13,Apr 23 BMO,-13.66%,295.53K,421.84,"Apr 10, 1968",Yes / Yes,-14.78% -7.46%,"

","555,443",-0.37%,WSO
"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail,USA,NYSE,S&P 500,17.98,8.83,3.89%,122.98M,2.60%,19.54B,17.55,9.05,-3.23%,118.22M,-7.93%,19.86B,5.47,1.77,91.99%,5.41%,-3.73%,1.12B,2.51,-2.82%,-2.06%,2.41,-18.14%,7.78B,9.04,5.98%,21.65%,6.40M,-14.22%,17.57,18.66,3.29%,51.10%,125.33,219.98,4.11%,8.51,19.30,6.01% 31.36%,33.83%,-27.79%,163.20%,2.60 (1.64%),11.95,-2.21% 5.51%,46.26%,26.74%,284.14%,2.37 (1.49%),2.55,8.57%,18.41%,1.94%,2.14%,294.83%,"Jul 18, 2025",0.73,1.64%,14.35%,48.87,2.48,20.42% 18.78%,1.51,-8.88%,-0.25%,1.48,181.89,25.89%,0.63,4.20%,0.77%,1.25,160.44,19600,0.53,May 22 BMO,-4.81%,2.65M,158.84,"Jul 07, 1983",Yes / Yes,-11.23% 3.79%,"

","3,326,062",-1.00%,WSM
